currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USD,BTC,MACD,0.00,18.28,0.00,-18.28,12.22,23.89,3.61,0.38,-4.18,-0.45,119,10,73,59,1,112814841321,8204.93,6701.97,5900,8488,6838.70178987,9.0,9426,3377994873,68402,2018-07-24 11:50:00,2018-09-22 10:20:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,ETH,MACD,0.00,49.93,0.00,-49.93,10.15,30.10,7.58,0.73,-6.11,-0.72,140,10,73,59,2,20850689370,475.4,237.82,167,484.43,306.37845516,28.3,119762,1125645711,45315,2018-07-24 11:50:00,2018-09-22 10:21:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,LTC,MACD,0.00,33.03,0.00,-33.03,7.47,33.64,4.39,0.88,-4.38,-0.98,194,10,73,59,7,3075803453,87.98,58.91,47.19,90.6,63.20322121,16.4,180634,278712035,28178,2018-07-24 11:50:00,2018-09-22 10:20:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
EUR,BTC,MACD,0.00,18.89,0.00,-18.89,11.98,24.08,3.58,0.47,-3.23,-0.45,119,10,73,59,1,112400520960,7023,5710,5200,7256,5910.10607251,8.5,1271,3338707788,13179,2018-07-24 11:50:00,2018-09-22 10:08:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
EUR,BCH,MACD,0.00,45.25,0.00,-45.25,11.03,25.85,8.90,0.99,-5.96,-0.79,129,10,73,59,4,7712266117,746.44,409.7,350,749.15,504.30924780,20.5,1621,237243215,1787,2018-07-24 11:50:00,2018-09-22 10:09:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
EUR,LTC,MACD,0.00,33.08,0.00,-33.08,6.81,33.33,5.46,0.93,-4.35,-1.07,207,10,73,59,7,3073305713,75.15,50.31,40.78,77.3,54.64304345,16.1,18198,280298048,3398,2018-07-24 11:50:00,2018-09-22 10:08:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
EUR,ETH,MACD,0.00,49.91,0.00,-49.91,10.19,28.00,7.47,0.9,-5.82,-0.73,139,10,73,59,2,20872588811,405.98,203.52,144.44,415.97,265.03037930,28.0,15516,1132834008,8373,2018-07-24 11:50:00,2018-09-22 10:08:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
GBP,BTC,MACD,0.00,17.97,0.00,-17.97,12.66,22.79,3.42,0.49,-3.53,-0.51,113,10,73,59,1,112400520960,6272.77,5154.91,4636.04,6468.99,5310.58472699,8.3,323,3338707788,4987,2018-07-24 11:50:00,2018-09-22 10:18:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,BCH,MACD,0.00,45.21,0.00,-45.21,10.73,29.43,9.12,0.86,-5.35,-0.81,131,10,73,59,4,7712266117,870.61,479.39,407.65,875,583.29744918,20.8,14522,237243215,16018,2018-07-24 11:50:00,2018-09-22 10:21:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,BTC,MACD,0.00,18.28,0.00,-18.28,12.22,23.89,3.61,0.38,-4.18,-0.45,119,10,73,59,1,112400520960,8204.93,6701.97,5900,8488,6838.70178987,9.0,9426,3338707788,68402,2018-07-24 11:50:00,2018-09-22 10:20:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,LTC,MACD,0.00,33.03,0.00,-33.03,7.47,33.64,4.39,0.88,-4.38,-0.98,194,10,73,59,7,3073305713,87.98,58.91,47.19,90.6,63.20322121,16.4,180634,280298048,28178,2018-07-24 11:50:00,2018-09-22 10:20:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,ETH,MACD,0.00,49.93,0.00,-49.93,10.15,30.10,7.58,0.73,-6.11,-0.72,140,10,73,59,2,20872588811,475.4,237.82,167,484.43,306.37845516,28.3,119762,1132834008,45315,2018-07-24 11:50:00,2018-09-22 10:21:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
